flow,hs4,hs6,hs_full,category,hs6_rule,status,ippi_napcs,hs6_desc,hs_full_desc,note
imports,7413,741300,7413000023,Overhead Conductor,whole,keep,322,"Stranded wire, cable, plaited bands and the like, of copper not elec insulated","Stranded wire,plaited bands and the like,of copper,with fittings,not elec insul",
imports,7413,741300,7413000029,Overhead Conductor,whole,keep,322,"Stranded wire, cable, plaited bands and the like, of copper not elec insulated","Cables, of copper, with fittings, not electrically insulated, nes",
imports,7413,741300,7413000080,Overhead Conductor,whole,keep,322,"Stranded wire, cable, plaited bands and the like, of copper not elec insulated","Cable,plaited bands & the like,of copper,w/o fittings,not electrically insulated",
imports,7413,741300,7413000090,Overhead Conductor,whole,keep,322,"Stranded wire, cable, plaited bands and the like, of copper not elec insulated","Stranded wire,cables,plaited bands & the like, of copper,not elec insulated, nes",
imports,7604,760410,7604100010,Raw Materials,whole,keep,32711,"Bars, rods and profiles, aluminium, not alloyed","Bars & rods, aluminum, not alloyed, maximum cross-sectional dimension >12.7mm",
imports,7604,760410,7604100020,Raw Materials,whole,keep,32711,"Bars, rods and profiles, aluminium, not alloyed","Bars & rods, aluminum, not alloyed, max cross-sectional dimension <=12.7mm",
imports,7604,760410,7604100030,Raw Materials,whole,keep,32711,"Bars, rods and profiles, aluminium, not alloyed","Profiles, aluminum, not alloyed",
imports,7604,760410,7604100040,Raw Materials,whole,keep,32711,"Bars, rods and profiles, aluminium, not alloyed","Bars and rods, of aluminum, not alloyed",
imports,7604,760421,7604210010,Raw Materials,whole,keep,32711,"Profiles, hollow, aluminium, alloyed","Profiles,hollow,aluminum,alloyed,unworked",
imports,7604,760421,7604210090,Raw Materials,whole,keep,32711,"Profiles, hollow, aluminium, alloyed","Profiles, hollow, aluminum alloys, nes",
imports,7604,760429,7604290011,Raw Materials,whole,keep,32711,"Bars, rods and other profiles, aluminium alloyed","Bars & rods, of aluminum alloys, having a round cross-sectional dimension >12.7mm  Barres en alliages d'aluminium, section transversale ronde >12,7mm",
imports,7604,760429,7604290019,Raw Materials,whole,keep,32711,"Bars, rods and other profiles, aluminium alloyed","Bars & rods, of aluminum alloys, max cross sectional-dimension >12.7mm, nes",
imports,7604,760429,7604290021,Raw Materials,whole,keep,32711,"Bars, rods and other profiles, aluminium alloyed","Bars & rods, of aluminum alloys, having a round cross-sectional dim <=12.7mm",
imports,7604,760429,7604290029,Raw Materials,whole,keep,32711,"Bars, rods and other profiles, aluminium alloyed","Bars & rods, of aluminum alloys, max cross-sectional dimension <=12.7mm, nes",
imports,7604,760429,7604290030,Raw Materials,whole,keep,32711,"Bars, rods and other profiles, aluminium alloyed","Profiles, of aluminum alloys, nes",
imports,7605,760511,7605110000,Raw Materials,whole,keep,32711,"Wire, aluminum, not alloyed, with a maximum cross-sectional dimension > 7mm","Wire, aluminum, not alloyed, with a maximum cross- sectional dimension > 7mm",
imports,7605,760519,7605190000,Raw Materials,whole,keep,32711,"Wire,aluminum,not alloyed,with maximum cross-sectional dimension of 7mm or less","Wire,aluminum,not alloyed,with maximum cross-sectional dimension of 7mm or less",
